Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2022,7.480,,,,,,,,,,,,
2021,1.400,1.676,2.620,4.160,4.993,5.391,5.365,5.251,5.390,6.222,6.809,7.036,4.698
2020,2.487,2.335,1.539,0.329,0.118,0.646,0.986,1.310,1.371,1.182,1.175,1.362,1.234
2019,1.551,1.520,1.863,1.996,1.790,1.648,1.811,1.750,1.711,1.764,2.051,2.285,1.812
2018,2.071,2.212,2.360,2.463,2.801,2.872,2.950,2.699,2.277,2.522,2.177,1.910,2.443
2017,2.500,2.738,2.381,2.200,1.872,1.625,1.720,1.939,2.233,2.041,2.203,2.109,2.128
2016,1.373,1.018,0.853,1.125,1.022,1.006,0.835,1.063,1.464,1.636,1.693,2.075,1.263
2015,-0.089,-0.025,-0.074,-0.200,-0.040,0.124,0.170,0.195,-0.036,0.171,0.502,0.730,0.119
2014,1.579,1.126,1.512,1.953,2.127,2.072,1.992,1.700,1.658,1.664,1.322,0.756,1.622
2013,1.595,1.978,1.474,1.063,1.362,1.754,1.961,1.518,1.185,0.964,1.237,1.502,1.465
2012,2.925,2.871,2.651,2.303,1.704,1.664,1.408,1.692,1.991,2.162,1.764,1.741,2.069
2011,1.632,2.108,2.682,3.164,3.569,3.559,3.629,3.771,3.868,3.525,3.394,2.962,3.157
2010,2.626,2.143,2.314,2.236,2.021,1.053,1.235,1.148,1.144,1.172,1.143,1.496,1.640
2009,0.030,0.236,-0.384,-0.737,-1.281,-1.427,-2.097,-1.484,-1.286,-0.183,1.838,2.721,-0.356
2008,4.280,4.027,3.981,3.937,4.176,5.022,5.600,5.372,4.937,3.655,1.070,0.091,3.839
2007,2.076,2.415,2.779,2.574,2.691,2.687,2.358,1.970,2.755,3.536,4.306,4.081,2.853
2006,3.985,3.597,3.363,3.546,4.167,4.319,4.145,3.819,2.062,1.305,1.974,2.541,3.226
2005,2.970,3.008,3.148,3.511,2.803,2.530,3.168,3.641,4.687,4.348,3.455,3.416,3.393
2004,1.926,1.693,1.737,2.285,3.052,3.266,2.991,2.654,2.538,3.189,3.523,3.256,2.677
2003,2.597,2.981,3.020,2.225,2.058,2.112,2.110,2.158,2.320,2.041,1.765,1.879,2.270
2002,1.142,1.138,1.476,1.639,1.182,1.067,1.465,1.803,1.514,2.026,2.198,2.377,1.586
2001,3.732,3.534,2.921,3.269,3.615,3.248,2.720,2.720,2.648,2.126,1.895,1.552,2.826
2000,2.739,3.222,3.758,3.069,3.189,3.730,3.659,3.411,3.454,3.448,3.446,3.387,3.377
1999,1.671,1.606,1.726,2.277,2.088,1.963,2.145,2.264,2.628,2.561,2.622,2.685,2.188
1998,1.571,1.441,1.375,1.436,1.686,1.684,1.682,1.617,1.489,1.485,1.548,1.612,1.552
1997,3.044,3.034,2.762,2.495,2.235,2.297,2.229,2.225,2.155,2.085,1.828,1.702,2.338
1996,2.728,2.651,2.840,2.897,2.891,2.754,2.951,2.878,3.003,2.993,3.255,3.322,2.931
1995,2.804,2.863,2.853,3.053,3.186,3.041,2.763,2.617,2.544,2.809,2.605,2.538,2.805
1994,2.525,2.516,2.507,2.361,2.288,2.493,2.770,2.901,2.963,2.608,2.675,2.675,2.607
1993,3.259,3.247,3.087,3.226,3.221,2.996,2.776,2.768,2.689,2.750,2.676,2.748,2.952
1992,2.600,2.819,3.185,3.180,3.024,3.088,3.157,3.148,2.988,3.202,3.048,2.901,3.029
1991,5.651,5.313,4.895,4.888,4.954,4.696,4.448,3.799,3.391,2.921,2.990,3.064,4.235
1990,5.202,5.263,5.233,4.712,4.362,4.674,4.823,5.618,6.160,6.290,6.275,6.106,5.398
1989,4.667,4.828,4.979,5.124,5.362,5.169,4.979,4.706,4.341,4.493,4.655,4.647,4.827
1988,4.047,3.943,3.925,3.904,3.890,3.965,4.130,4.021,4.174,4.250,4.246,4.419,4.078
1987,1.460,2.104,3.033,3.775,3.857,3.653,3.927,4.284,4.356,4.533,4.529,4.434,3.665
1986,3.886,3.113,2.256,1.590,1.491,1.766,1.577,1.574,1.754,1.472,1.284,1.098,1.898
1985,3.533,3.516,3.704,3.686,3.772,3.761,3.554,3.349,3.143,3.229,3.514,3.799,3.546
1984,4.192,4.597,4.801,4.564,4.234,4.221,4.204,4.291,4.270,4.257,4.051,3.949,4.301
1983,3.712,3.488,3.598,3.899,3.549,2.577,2.462,2.559,2.860,2.851,3.265,3.791,3.212
1982,8.391,7.622,6.780,6.510,6.682,7.064,6.441,5.850,5.043,5.139,4.589,3.830,6.131
1981,11.825,11.407,10.487,10.000,9.780,9.553,10.762,10.804,10.952,10.142,9.591,8.922,10.335
1980,13.909,14.182,14.756,14.731,14.406,14.385,13.133,12.873,12.601,12.766,12.648,12.516,13.549
1979,9.280,9.857,10.095,10.485,10.853,10.890,11.263,11.818,12.180,12.072,12.611,13.294,11.254
1978,6.838,6.430,6.555,6.500,6.965,7.414,7.705,7.843,8.306,8.929,8.885,9.018,7.631
1977,5.216,5.914,6.440,6.952,6.726,6.866,6.830,6.620,6.597,6.390,6.724,6.701,6.502
1976,6.718,6.286,6.072,6.049,6.203,5.970,5.351,5.709,5.495,5.464,4.882,4.865,5.745
1975,11.803,11.229,10.251,10.208,9.465,9.388,9.717,8.600,7.905,7.436,7.379,6.936,9.143
1974,9.390,10.023,10.393,10.092,10.706,10.860,11.512,10.865,11.947,12.061,12.200,12.338,11.055
1973,3.650,3.874,4.589,5.060,5.529,5.995,5.728,7.381,7.363,7.801,8.255,8.706,6.178
1972,3.266,3.509,3.500,3.491,3.226,2.709,2.948,2.941,3.186,3.423,3.667,3.406,3.272
1971,5.291,5.000,4.712,4.156,4.404,4.639,4.359,4.615,4.082,3.807,3.283,3.266,4.293
1970,6.180,6.145,5.817,6.061,6.044,6.011,5.978,5.405,5.660,5.630,5.600,5.570,5.838
1969,4.399,4.678,5.248,5.523,5.507,5.476,5.444,5.714,5.698,5.666,5.932,6.197,5.462
1968,3.647,3.951,3.939,3.927,3.916,4.204,4.491,4.478,4.464,4.748,4.734,4.720,4.272
1967,3.459,2.812,2.804,2.477,2.786,2.778,2.769,2.446,2.752,2.432,2.736,3.040,2.773
1966,1.923,2.564,2.556,2.866,2.866,2.532,2.848,3.481,3.481,3.785,3.785,3.459,3.015
1965,0.971,0.971,1.294,1.618,1.618,1.935,1.608,1.935,1.608,1.929,1.603,1.923,1.585
1964,1.645,1.645,1.311,1.311,1.311,1.307,1.303,0.977,1.303,0.974,1.299,0.971,1.279
1963,1.333,0.997,1.329,0.993,0.993,1.325,1.320,1.320,0.987,1.316,1.316,1.645,1.240
1962,0.671,1.007,1.007,1.342,1.342,1.342,1.000,1.338,1.333,1.333,1.333,1.333,1.199
1961,1.706,1.361,1.361,1.017,1.017,0.676,1.351,1.014,1.351,0.671,0.671,0.671,1.071
1960,1.034,1.730,1.730,1.724,1.724,1.718,1.370,1.370,1.024,1.361,1.361,1.361,1.458
1959,1.399,1.049,0.347,0.346,0.346,0.692,0.690,1.038,1.384,1.730,1.379,1.730,1.011
1958,3.623,3.249,3.597,3.584,3.214,2.847,2.473,2.120,2.120,2.120,2.113,1.761,2.729
1957,2.985,3.358,3.731,3.717,3.704,3.309,3.285,3.663,3.285,2.909,3.273,2.899,3.342
1956,0.375,0.375,0.375,0.749,1.124,1.873,2.239,1.866,1.859,2.230,2.230,2.985,1.525
1955,-0.743,-0.743,-0.743,-0.373,-0.743,-0.743,-0.372,-0.372,0.373,0.373,0.373,0.375,-0.279
1954,1.128,1.509,1.128,0.752,0.749,0.373,0.373,0.000,-0.372,-0.741,-0.372,-0.743,0.311
1953,0.377,0.760,1.141,0.758,1.136,1.132,0.375,0.749,0.749,1.124,0.749,0.749,0.816
1952,4.331,2.335,1.938,2.326,1.931,2.317,3.089,3.089,2.299,1.908,1.136,0.755,2.279
1951,8.085,9.362,9.322,9.322,9.283,8.824,7.469,6.584,6.967,6.504,6.883,6.000,7.860
1950,-2.083,-1.261,-0.840,-1.255,-0.420,-0.418,1.688,2.101,2.092,3.797,3.782,5.932,1.085
1949,1.266,1.277,1.709,0.420,-0.418,-0.830,-2.869,-2.857,-2.449,-2.869,-1.653,-2.075,-0.971
1948,10.233,9.302,6.849,8.676,9.132,9.545,9.910,8.889,6.522,6.087,4.762,2.991,7.689
1947,18.132,18.785,19.672,19.022,18.378,17.647,12.121,11.386,12.745,10.577,8.451,8.837,14.389
1946,2.247,1.685,2.809,3.371,3.352,3.315,9.392,11.602,12.707,14.917,17.680,18.132,8.476
1945,2.299,2.299,2.299,1.714,2.286,2.841,2.260,2.260,2.260,2.260,2.260,2.247,2.274
1944,2.959,2.959,1.163,0.575,0.000,0.571,1.724,2.312,1.724,1.724,1.724,2.299,1.637
1943,7.643,6.962,7.500,8.075,7.362,7.362,6.098,4.848,5.455,4.192,3.571,2.959,5.969
1942,11.348,12.057,12.676,12.587,13.194,10.884,11.565,10.738,9.272,9.150,9.091,9.032,10.922
1941,1.439,0.714,1.429,2.143,2.857,4.255,5.000,6.429,7.857,9.286,10.000,9.929,5.116
1940,-0.714,0.719,0.719,1.449,1.449,2.174,1.449,1.449,-0.709,0.000,0.000,0.714,0.719
1939,-1.408,-1.418,-1.418,-2.817,-2.128,-2.128,-2.128,-2.128,0.000,0.000,0.000,0.000,-1.301
1938,0.709,0.000,-0.704,-0.699,-2.083,-2.083,-2.759,-2.759,-3.425,-4.110,-3.448,-2.778,-2.028
1937,2.174,2.174,3.650,4.380,5.109,4.348,4.317,3.571,4.286,4.286,3.571,2.857,3.726
1936,1.471,0.730,0.000,-0.725,-0.725,0.730,1.460,2.190,2.190,2.190,1.449,1.449,1.032
1935,3.030,3.008,3.008,3.759,3.759,2.239,2.239,2.239,0.735,1.481,2.222,2.985,2.553
1934,2.326,4.724,5.556,5.556,5.556,5.512,2.290,1.515,3.030,2.273,2.273,1.515,3.479
1933,-9.790,-9.929,-10.000,-9.353,-8.029,-6.618,-3.676,-2.222,-1.493,-0.752,0.000,0.763,-5.192
1932,-10.063,-10.191,-10.256,-10.323,-10.458,-9.934,-9.934,-10.596,-10.667,-10.738,-10.204,-10.274,-10.301
1931,-7.018,-7.647,-7.692,-8.824,-9.467,-10.119,-9.036,-8.485,-9.639,-9.697,-10.366,-9.317,-8.932
1930,0.000,-0.585,-0.588,0.592,-0.588,-1.754,-4.046,-4.624,-4.046,-4.624,-5.202,-6.395,-2.671
1929,-1.156,0.000,-0.585,-1.170,-1.163,0.000,1.170,1.170,0.000,0.581,0.581,0.585,0.000
1928,-1.143,-1.724,-1.156,-1.156,-1.149,-2.841,-1.156,-0.581,0.000,-1.149,-0.578,-1.156,-1.152
1927,-2.235,-2.793,-2.809,-3.352,-2.247,-0.565,-1.143,-1.149,-1.143,-1.136,-2.260,-2.260,-1.930
1926,3.468,4.070,2.890,4.070,2.890,1.143,-1.130,-1.695,-1.130,-0.565,-1.667,-1.117,0.903
1925,0.000,0.000,1.170,1.176,1.765,2.941,3.509,4.118,3.509,2.907,4.651,3.468,2.433
1924,2.976,2.381,1.786,0.592,0.592,0.000,-0.581,-0.585,-0.581,-0.578,-0.578,0.000,0.440
1923,-0.592,-0.592,0.599,1.198,1.198,1.796,2.381,3.012,3.614,3.593,2.976,2.367,1.791
1922,-11.053,-8.152,-8.743,-7.735,-5.650,-5.114,-5.085,-6.215,-5.143,-4.571,-3.448,-2.312,-6.162
1921,-1.554,-5.641,-7.107,-10.837,-14.078,-15.789,-14.904,-12.808,-12.500,-12.060,-12.121,-10.825,-10.936
1920,16.970,20.370,20.122,21.557,21.893,23.669,19.540,14.689,12.360,9.945,7.027,2.646,15.625
1919,17.857,14.894,17.143,17.606,16.552,14.966,15.232,14.935,13.376,13.125,13.497,14.545,15.235
1918,19.658,17.500,16.667,12.698,13.281,13.077,17.969,18.462,18.045,18.519,20.741,20.438,17.284
1917,12.500,15.385,14.286,18.868,19.626,20.370,18.519,19.266,19.820,19.469,17.391,18.103,17.841
1916,2.970,4.000,6.061,6.000,5.941,6.931,6.931,7.921,9.901,10.784,11.650,12.621,7.667
1915,1.000,1.010,0.000,2.041,2.020,2.020,1.000,-0.980,-0.980,0.990,0.980,1.980,0.915
1914,2.041,1.020,1.020,0.000,2.062,1.020,1.010,3.030,2.000,1.000,0.990,1.000,1.349
